text,question
"Titre: avis de concours de recrutement de neuf (09) maîtres de conférences, Date: mai 22, 2024. Pour plus de détails, veuillez consulter le lien suivant : https://fstt.ac.ma/Portail2023/avis-de-concours-de-recrutement-de-trois-09-maitres-de-conferences/",Quel est le nom du concours de recrutement de neuf (09) maîtres de conférences?
"Titre: demain dès aujourd’hui ! غدا من دابا, Date: mai 19, 2024. Pour plus de détails, veuillez consulter le lien suivant : https://fstt.ac.ma/Portail2023/demain-des-aujourdhui-%d8%ba%d8%af%d8%a7-%d9%85%d9%86-%d8%af%d8%a7%d8%a8%d8%a7/",quelle date demain a-t-il eu lieu?
"Titre: lecture/seminar announcement : «riverbank filtration as an element of integrated water resources management», Date: mai 16, 2024. Pour plus de détails, veuillez consulter le lien suivant : https://fstt.ac.ma/Portail2023/lecture-seminar-announcement-riverbank-filtration-as-an-element-of-integrated-water-resources-management/",Quelle est la date de la lecture?
"Titre: avis de concours de recrutement d’un (01) ingénieur d’état 1er grade, spécialité: informatique, Date: mai 16, 2024. Pour plus de détails, veuillez consulter le lien suivant : https://fstt.ac.ma/Portail2023/avis-de-concours-de-recrutement-dun-01-ingenieur-detat-1er-grade-specialite-informatique/",Quelle est la spécialité de l'ingénieur d'état 1er?
"Titre: atelier : évaluation des déchets marins dans la zone côtière, Date: mai 15, 2024. Pour plus de détails, veuillez consulter le lien suivant : https://fstt.ac.ma/Portail2023/atelier-evaluation-des-dechets-marins-dans-la-zone-cotiere/",Quel est le nom de l'atelier d'évaluation des déchets marins dans la zone côtière?
"Titre: لقاء تواصلي مع مؤسسة محمد السادس للنهوض بالأعمال الاجتماعية للتربية والتكوين, Date: mai 14, 2024. Pour plus de détails, veuillez consulter le lien suivant : https://fstt.ac.ma/Portail2023/%d9%84%d9%82%d8%a7%d8%a1-%d8%aa%d9%88%d8%a7%d8%b5%d9%84%d9%8a-%d9%85%d8%b9-%d9%85%d8%a4%d8%b3%d8%b3%d8%a9-%d9%85%d8%ad%d9%85%d8%af-%d8%a7%d9%84%d8%b3%d8%a7%d8%af%d8%b3-%d9%84%d9%84%d9%86%d9%87%d9%88/",Quel est le lien à l'adresse suivante?
"Titre: listes des examens par local – printemps 2023/2024, Date: mai 12, 2024. Pour plus de détails, veuillez consulter le lien suivant : https://fstt.ac.ma/Portail2023/listes-des-examens-par-local-printemps-2023-2024/",Quelle est la date des examens par local?
"Titre: calendrier des examens de la session de printemps 2023-2024, Date: mai 8, 2024. Pour plus de détails, veuillez consulter le lien suivant : https://fstt.ac.ma/Portail2023/calendrier-des-examens-de-la-session-de-printemps-2023-2024/",Quelle est la date du calendrier des examens de la session de printemps?
"Titre: avis aux étudiants : lancement officiel du portail d’apprentissage virtuel oracle université, Date: mai 8, 2024. Pour plus de détails, veuillez consulter le lien suivant : https://fstt.ac.ma/Portail2023/avis-aux-etudiants-lancement-officiel-du-portail-dapprentissage-virtuel-oracle-universite/",Quel est le nom du portail d'apprentissage virtuel oracle université?
"Titre: projet formed : appel à candidature pour des bourses 2024, Date: mai 7, 2024. Pour plus de détails, veuillez consulter le lien suivant : https://fstt.ac.ma/Portail2023/projet-formed-appel-a-candidature-pour-des-bourses-2024/",Qu'est-ce que Portail 2023?
